0,81,323,816,2435,731,678,663,777,692,1248,15103,52660,20302,1008,718,724,638,584,380,266,224,126,104,56,39,
0,119,455,917,2337,694,600,684,799,729,1179,14357,51231,22224,1056,706,665,659,657,421,271,205,154,140,77,40,
0,124,502,1120,2159,685,657,674,756,752,1189,13981,50423,23230,1026,757,687,656,675,431,228,227,163,145,79,50,
0,101,521,1261,2118,622,691,701,798,716,1120,13691,49424,24349,1099,725,700,676,659,470,246,243,168,164,86,27,
0,123,525,1365,2115,641,632,649,775,717,1110,13064,49332,25099,1024,721,749,636,657,488,265,239,170,143,95,42,
0,84,543,1627,1982,537,643,741,751,758,1093,13159,48344,25828,1069,732,753,662,651,443,270,246,170,162,96,32,
0,101,513,1727,1944,705,584,653,795,744,1130,12991,48495,25748,1119,712,707,652,677,450,269,212,171,139,86,52,
0,97,550,1793,1940,652,610,658,842,805,1117,12642,48653,25694,1130,729,732,679,689,459,253,216,165,144,83,44,
0,112,548,1846,1897,649,681,634,770,785,1189,12459,48864,25528,1105,769,722,681,694,464,288,245,155,142,103,46,
0,105,552,1881,1898,596,702,708,759,772,1108,12542,49159,25079,1127,758,822,664,707,462,259,238,179,168,88,43,
0,102,427,1827,2084,671,747,657,768,755,1081,11887,47334,27386,1133,815,811,742,651,487,274,247,165,154,111,60,
0,115,480,1925,1956,700,733,673,807,746,1150,11489,47540,27423,1116,773,807,707,721,489,251,238,186,169,115,67,
0,121,498,1924,2061,644,741,664,718,751,1162,11644,48006,26719,1172,774,781,714,689,517,251,269,181,161,143,71,
0,100,571,1927,1952,682,680,662,830,755,1269,11815,47894,26439,1110,772,814,736,758,491,250,256,188,179,154,92,
0,64,568,2009,1845,651,738,747,751,826,1403,11354,49841,24779,1069,787,849,744,708,503,265,265,206,166,149,89,
0,38,479,2177,1766,584,744,715,838,921,1636,11144,52527,22144,1056,798,878,706,676,471,283,256,162,182,133,62,
0,59,507,2159,1763,613,726,719,889,955,1573,11422,52857,21469,1088,763,817,739,696,463,265,246,179,171,153,85,
0,40,502,2193,1748,636,717,740,924,929,1762,11395,52639,21429,1063,788,777,772,712,488,267,255,180,182,159,79,
0,46,481,2246,1768,661,721,807,982,966,1718,11262,52823,21063,1130,760,843,723,761,493,265,245,198,177,160,77,
0,71,504,2318,1684,634,803,793,907,1035,1879,11302,53294,20297,1120,805,800,702,745,491,311,290,193,175,138,85,
0,66,551,2413,1594,717,765,744,943,1159,1803,11501,53555,19735,1070,821,815,710,753,501,323,250,209,169,110,99,
0,58,535,2528,1449,660,877,813,962,1240,1920,11242,54907,18419,1076,784,765,706,770,475,309,297,195,167,133,89,
0,91,551,2533,1424,628,820,765,999,1352,2055,11292,55580,17523,1057,750,854,705,776,500,289,244,197,176,133,82,
0,77,649,2406,1459,662,741,850,999,1350,2018,11619,55545,17370,1072,726,768,693,788,482,304,254,165,151,138,90,
0,100,631,2431,1460,547,771,900,1077,1402,2033,11556,55950,16933,1070,730,747,699,794,456,289,236,156,176,141,91,
0,120,586,2426,1439,618,782,878,1070,1584,2133,11141,56310,16645,1055,736,786,696,755,489,309,253,172,179,130,84,
0,74,534,2368,1574,585,771,744,1165,1676,2128,11335,56692,15979,1080,762,766,710,786,500,301,271,164,169,158,84,
0,57,453,2373,1551,676,789,752,1158,1764,2127,11132,57515,15277,1003,771,802,698,787,512,293,260,202,175,159,90,
0,92,445,2142,1776,724,842,817,1170,1747,2102,10986,57198,15564,1031,736,797,666,777,552,323,265,191,212,135,86,
